"corpus","classlaweb_bs"
"subcorpus","-"
"concordance size","20159"
"query","Query:[lemma_lc=""arheol.*""]"
"text.genre", "Frequency", "Relative density", "Relative in text types"
"bosnazemljabozijemilosti.ba",5, 123.74432, 31.08621
"korporativnoupravljanje.com",5, 97.59969, 24.51834
"upsmedia.ba",5, 1429.73983, 359.16960
"historija.ba",4, 273.71335, 68.76042
"ingeb.unsa.ba",4, 997.22719, 250.51669
"vicevi.net",4, 59.62250, 14.97796
"rtvbn.com",4, 7.91358, 1.98800
"galaksija.blogspot.com",4, 208.21098, 52.30536
"aeptm.gov.ba",4, 226.45817, 56.88929
"mm.co.ba",4, 18.48353, 4.64331
"sportske.ba",4, 3.00090, 0.75387
"volimtuzlu.ba",4, 100.44363, 25.23277
"jews.ba",4, 854.04026, 214.54623
"superportal.ba",4, 303.56179, 76.25875
"hgss.ba",4, 278.93013, 70.07095
"snm.rs.ba",4, 126.09464, 31.67664
"trninfo.ba",4, 86.21886, 21.65932
"vjetrenica.ba",4, 1522.39473, 382.44574
"sic.ba",4, 29.30392, 7.36153
"bijeljinaturizam.com",4, 831.56082, 208.89910
"tntportal.ba",4, 159.78973, 40.14130
"db.mhrr.gov.ba",4, 374.44094, 94.06453
"forum.sport1.oslobodjenje.ba",4, 4.74552, 1.19214
"skolegijum.ba",4, 30.44708, 7.64871
"unbi.ba",4, 247.07849, 62.06939
"novitravnik.ba",4, 14.11028, 3.54469
"palelive.com",4, 136.08121, 34.18540
"medzlis-zvornik.info",4, 37.82255, 9.50153
"anubih.ba",4, 366.65500, 92.10860
"lokal.ba",4, 121.71477, 30.57636
"narodnaskupstinars.net",4, 52.11681, 13.09243
"072info.com",4, 251.94188, 63.29114
"fmslu.ba",4, 2072.46213, 520.62996
"vijece.mostar.ba",4, 88.14521, 22.14324
"ins.ba",4, 73.00888, 18.34080
"arhipedija.com",4, 229.75191, 57.71673
"buybook.ba",4, 137.14665, 34.45306
"osmbklj.edu.ba",4, 551.83775, 138.62896
"islampress.net",4, 34.86291, 8.75802
"cliohipbih.ba",4, 1466.72131, 368.45984
"n-um.com",4, 3.00631, 0.75522
"pit.ba",4, 31.12832, 7.81985
"bibliotekabijeljina.rs.ba",4, 162.31945, 40.77680
"www2015.sum.ba",4, 113.20976, 28.43979
"livno.ba",4, 219.89375, 55.24023
"gosdptuzla.ba",4, 196.84906, 49.45109
"viteski.ba",3, 25.28857, 6.35282
"rijec.ba",3, 95.07922, 23.88516
"kostajnica.com",3, 18.92427, 4.75403
"okanal.oslobodjenje.ba",3, 819.91383, 205.97322
"livnobus.com",3, 8925.29514, 2242.15247
"hbsume.ba",3, 44.86134, 11.26976
"odmoriubih.ba",3, 174.33897, 43.79626
"ajmo.ba",3, 896.14625, 225.12382
"raskrinkavanje.ba",3, 48.15399, 12.09692
"psbih.ba",3, 88.70139, 22.28296
"betty.ba",3, 158.87139, 39.91060
"normala.ba",3, 6.93999, 1.74342
"glasometar.ba",3, 1325.12704, 332.88948
